Year	Group	Value
3	G_21	0.0245795601552393
3	G_22	0.0763260025873221
3	G_23	0.00388098318240621
3	G_24	0
3	G_25	0
3	G_26	0
3	G_27	0
3	G_28	0.0168175937904269
3	G_29	0
3	G_3	0.0310478654592497
3	G_30	0
3	G_31	0
3	G_32	0
3	G_33	0
3	G_34	0
3	G_35	0.0284605433376455
3	G_36	0
3	G_37	0.036222509702458
3	G_38	0
3	G_39	0
3	G_4	0
3	G_40	0.019404915912031
3	G_41	0
3	G_42	0
3	G_43	0
3	G_44	0.0504527813712807
3	G_45	0
3	G_46	0.0388098318240621
3	G_47	0
3	G_48	0
3	G_49	0.0685640362225097
3	G_5	0
3	G_50	0
3	G_51	0
3	G_52	0
3	G_53	0.073738680465718
3	G_54	0.03751617076326
3	G_55	0.0478654592496766
3	G_56	0
3	G_57	0
3	G_58	0.0413971539456662
3	G_59	0.0452781371280724
3	G_6	0.0724450194049159
3	G_60	0.0595084087968952
3	G_7	0
3	G_8	0.00517464424320828
3	G_9	0
4	G_1	0
4	G_10	0.0768094534711965
4	G_11	0
4	G_12	0
4	G_13	0.0723781388478582
4	G_14	0
4	G_15	0.0753323485967504
4	G_16	0
4	G_17	0.0576070901033973
4	G_18	0
4	G_19	0
4	G_2	0
4	G_20	0.0251107828655835
4	G_21	0
4	G_22	0
4	G_23	0
4	G_24	0.0738552437223043
4	G_25	0
4	G_26	0.0132939438700148
4	G_27	0.0561299852289513
4	G_28	0
4	G_29	0
4	G_3	0
4	G_30	0.00147710487444609
4	G_31	0
4	G_32	0.0369276218611521
4	G_33	0
4	G_34	0
4	G_35	0
4	G_36	0
4	G_37	0
4	G_38	0.0635155096011817
4	G_39	0.0147710487444609
4	G_4	0
4	G_40	0
4	G_41	0
4	G_42	0.0649926144756278
4	G_43	0
4	G_44	0
4	G_45	0
4	G_46	0.00738552437223043
4	G_47	0.085672082717873
4	G_48	0
4	G_49	0
4	G_5	0
4	G_50	0.0192023633677991
4	G_51	0
4	G_52	0
4	G_53	0.0531757754800591
4	G_54	0.0324963072378139
4	G_55	0.0413589364844904
4	G_56	0
4	G_57	0
4	G_58	0
4	G_59	0
4	G_6	0
4	G_60	0
4	G_7	0.0590841949778434
4	G_8	0.069423929098966
4	G_9	0
5	G_1	0.00788436268068331
5	G_10	0
5	G_11	0
5	G_12	0
5	G_13	0
5	G_14	0.0722733245729304
5	G_15	0
5	G_16	0.0289093298291721
5	G_17	0.0105124835742444
5	G_18	0.0657030223390276
5	G_19	0
5	G_2	0.0302233902759527
5	G_20	0.0249671484888305
5	G_21	0.0354796320630749
5	G_22	0.0170827858081472
5	G_23	0
5	G_24	0
5	G_25	0
5	G_26	0.0538764783180026
5	G_27	0.0525624178712221
5	G_28	0
5	G_29	0
5	G_3	0.049934296977661
5	G_30	0
5	G_31	0
5	G_32	0
5	G_33	0
5	G_34	0.0367936925098555
5	G_35	0.0683311432325887
5	G_36	0
5	G_37	0.0749014454664915
5	G_38	0
5	G_39	0
5	G_4	0
5	G_40	0
5	G_41	0
5	G_42	0.0551905387647832
5	G_43	0
5	G_44	0.0604467805519054
5	G_45	0
5	G_46	0
5	G_47	0.0433639947437582
5	G_48	0
5	G_49	0.064388961892247
5	G_5	0.0591327201051248
5	G_50	0
5	G_51	0
5	G_52	0
5	G_53	0
5	G_54	0.0026281208935611
5	G_55	0
5	G_56	0
5	G_57	0.0696452036793692
5	G_58	0
5	G_59	0
5	G_6	0
5	G_60	0.00131406044678055
5	G_7	0
5	G_8	0.0144546649145861
5	G_9	0
6	G_1	0
6	G_10	0
6	G_11	0
6	G_12	0.0495626822157434
6	G_13	0.0816326530612245
6	G_14	0
6	G_15	0
6	G_16	0
6	G_17	0
6	G_18	0
6	G_19	0
6	G_2	0
6	G_20	0
6	G_21	0.0801749271137026
6	G_22	0
6	G_23	0
6	G_24	0
6	G_25	0
6	G_26	0
6	G_27	0.0685131195335277
6	G_28	0.0131195335276968
6	G_29	0.0787172011661808
6	G_3	0.00728862973760933
6	G_30	0.0860058309037901
6	G_31	0
6	G_32	0.0553935860058309
6	G_33	0.0510204081632653
6	G_34	0
6	G_35	0.0699708454810496
6	G_36	0.0102040816326531
6	G_37	0.0364431486880466
6	G_38	0
6	G_39	0
6	G_4	0
6	G_40	0
6	G_41	0
6	G_42	0.00145772594752187
6	G_43	0.0291545189504373
6	G_44	0
6	G_45	0
6	G_46	0.0670553935860058
6	G_47	0
6	G_48	0.021865889212828
6	G_49	0
6	G_5	0
6	G_50	0.0481049562682216
6	G_51	0
6	G_52	0
6	G_53	0
6	G_54	0.0335276967930029
6	G_55	0.0043731778425656
6	G_56	0
6	G_57	0
6	G_58	0.0466472303206997
6	G_59	0
6	G_6	0
6	G_60	0.0189504373177843
6	G_7	0
6	G_8	0.0408163265306122
6	G_9	0
7	G_1	0
7	G_10	0
7	G_11	0
7	G_12	0
7	G_13	0.0124610591900312
7	G_14	0
7	G_15	0
7	G_16	0.0529595015576324
7	G_17	0.00311526479750779
7	G_18	0.0451713395638629
7	G_19	0
7	G_2	0.0498442367601246
7	G_20	0
7	G_21	0
7	G_22	0
7	G_23	0
7	G_24	0
7	G_25	0
7	G_26	0.0358255451713396
7	G_27	0
7	G_28	0
7	G_29	0
7	G_3	0
7	G_30	0.0763239875389408
7	G_31	0
7	G_32	0.0342679127725857
7	G_33	0.0607476635514019
7	G_34	0
7	G_35	0
7	G_36	0
7	G_37	0
7	G_38	0
7	G_39	0
7	G_4	0
7	G_40	0
7	G_41	0
7	G_42	0.0514018691588785
7	G_43	0
7	G_44	0.0856697819314642
7	G_45	0
7	G_46	0.0264797507788162
7	G_47	0.0685358255451713
7	G_48	0
7	G_49	0
7	G_5	0
7	G_50	0.0311526479750779
7	G_51	0.0389408099688473
7	G_52	0.0576323987538941
7	G_53	0.088785046728972
7	G_54	0
7	G_55	0.0638629283489097
7	G_56	0
7	G_57	0.0700934579439252
7	G_58	0
7	G_59	0
7	G_6	0.0327102803738318
7	G_60	0
7	G_7	0.014018691588785
7	G_8	0
7	G_9	0
8	G_1	0.0726256983240224
8	G_10	0.0782122905027933
8	G_11	0.0595903165735568
8	G_12	0
8	G_13	0
8	G_14	0
8	G_15	0.0167597765363128
8	G_16	0
8	G_17	0
8	G_18	0
8	G_19	0
8	G_2	0
8	G_20	0.0204841713221601
8	G_21	0
8	G_22	0.00186219739292365
8	G_23	0.0223463687150838
8	G_24	0
8	G_25	0
8	G_26	0
8	G_27	0
8	G_28	0.0912476722532588
8	G_29	0
8	G_3	0.0409683426443203
8	G_30	0
8	G_31	0
8	G_32	0.068901303538175
8	G_33	0.0353817504655493
8	G_34	0
8	G_35	0
8	G_36	0
8	G_37	0
8	G_38	0
8	G_39	0
8	G_4	0.0558659217877095
8	G_40	0.0446927374301676
8	G_41	0.074487895716946
8	G_42	0
8	G_43	0
8	G_44	0.102420856610801
8	G_45	0
8	G_46	0
8	G_47	0
8	G_48	0.0074487895716946
8	G_49	0.0707635009310987
8	G_5	0
8	G_50	0.0111731843575419
8	G_51	0
8	G_52	0
8	G_53	0
8	G_54	0.0130353817504655
8	G_55	0
8	G_56	0
8	G_57	0
8	G_58	0
8	G_59	0
8	G_6	0
8	G_60	0
8	G_7	0
8	G_8	0.111731843575419
8	G_9	0
9	G_1	0.0473751600512164
9	G_10	0
9	G_11	0.0768245838668374
9	G_12	0
9	G_13	0
9	G_14	0.00640204865556978
9	G_15	0.0524967989756722
9	G_16	0
9	G_17	0.0256081946222791
9	G_18	0
9	G_19	0
9	G_2	0
9	G_20	0
9	G_21	0.0153649167733675
9	G_22	0.0345710627400768
9	G_23	0.0166453265044814
9	G_24	0.028169014084507
9	G_25	0.00384122919334187
9	G_26	0.0563380281690141
9	G_27	0.029449423815621
9	G_28	0.0230473751600512
9	G_29	0
9	G_3	0.0332906530089629
9	G_30	0
9	G_31	0.0128040973111396
9	G_32	0
9	G_33	0
9	G_34	0.0179257362355954
9	G_35	0.058898847631242
9	G_36	0
9	G_37	0
9	G_38	0.00256081946222791
9	G_39	0
9	G_4	0
9	G_40	0
9	G_41	0
9	G_42	0
9	G_43	0.0742637644046095
9	G_44	0
9	G_45	0
9	G_46	0
9	G_47	0.0102432778489117
9	G_48	0.0140845070422535
9	G_49	0
9	G_5	0
9	G_50	0
9	G_51	0.0320102432778489
9	G_52	0.060179257362356
9	G_53	0
9	G_54	0
9	G_55	0
9	G_56	0.0704225352112676
9	G_57	0
9	G_58	0.0717029449423816
9	G_59	0.0640204865556978
9	G_6	0
9	G_60	0.0614596670934699
9	G_7	0
9	G_8	0
9	G_9	0
10	G_1	0.00900900900900901
10	G_10	0
10	G_11	0
10	G_12	0
10	G_13	0
10	G_14	0
10	G_15	0.0195195195195195
10	G_16	0
10	G_17	0.012012012012012
10	G_18	0.0225225225225225
10	G_19	0
10	G_2	0
10	G_20	0.0735735735735736
10	G_21	0.0555555555555556
10	G_22	0
10	G_23	0
10	G_24	0
10	G_25	0
10	G_26	0.0615615615615616
10	G_27	0
10	G_28	0
10	G_29	0
10	G_3	0
10	G_30	0
10	G_31	0.0690690690690691
10	G_32	0
10	G_33	0.0435435435435435
10	G_34	0
10	G_35	0
10	G_36	0.0780780780780781
10	G_37	0.039039039039039
10	G_38	0
10	G_39	0
10	G_4	0
10	G_40	0
10	G_41	0
10	G_42	0
10	G_43	0
10	G_44	0.027027027027027
10	G_45	0.0885885885885886
10	G_46	0
10	G_47	0
10	G_48	0.0465465465465465
10	G_49	0
10	G_5	0
10	G_50	0.0540540540540541
10	G_51	0.0750750750750751
10	G_52	0.0645645645645646
10	G_53	0.0765765765765766
10	G_54	0
10	G_55	0
10	G_56	0
10	G_57	0
10	G_58	0.00750750750750751
10	G_59	0.015015015015015
10	G_6	0
10	G_60	0
10	G_7	0
10	G_8	0.036036036036036
10	G_9	0.0255255255255255
11	G_1	0
11	G_10	0
11	G_11	0.0153846153846154
11	G_12	0
11	G_13	0.0230769230769231
11	G_14	0.0784615384615385
11	G_15	0.00461538461538462
11	G_16	0.0369230769230769
11	G_17	0
11	G_18	0.0738461538461539
11	G_19	0
11	G_2	0
11	G_20	0
11	G_21	0
11	G_22	0.02
11	G_23	0.0615384615384615
11	G_24	0
11	G_25	0
11	G_26	0
11	G_27	0
11	G_28	0
11	G_29	0.0446153846153846
11	G_3	0.0876923076923077
11	G_30	0
11	G_31	0.0661538461538462
11	G_32	0.0338461538461538
11	G_33	0.0507692307692308
11	G_34	0
11	G_35	0
11	G_36	0
11	G_37	0.0676923076923077
11	G_38	0
11	G_39	0
11	G_4	0
11	G_40	0
11	G_41	0
11	G_42	0.0261538461538462
11	G_43	0
11	G_44	0.0292307692307692
11	G_45	0
11	G_46	0.0584615384615385
11	G_47	0.0415384615384615
11	G_48	0
11	G_49	0.0353846153846154
11	G_5	0
11	G_50	0
11	G_51	0
11	G_52	0
11	G_53	0
11	G_54	0
11	G_55	0.0907692307692308
11	G_56	0
11	G_57	0
11	G_58	0
11	G_59	0.0107692307692308
11	G_6	0
11	G_60	0.0430769230769231
11	G_7	0
11	G_8	0
11	G_9	0
12	G_1	0
12	G_10	0
12	G_11	0.07002457002457
12	G_12	0
12	G_13	0
12	G_14	0.042997542997543
12	G_15	0
12	G_16	0
12	G_17	0
12	G_18	0.0343980343980344
12	G_19	0
12	G_2	0
12	G_20	0
12	G_21	0.0208845208845209
12	G_22	0
12	G_23	0.0282555282555283
12	G_24	0
12	G_25	0
12	G_26	0.0651105651105651
12	G_27	0.0638820638820639
12	G_28	0.0601965601965602
12	G_29	0
12	G_3	0
12	G_30	0
12	G_31	0.0565110565110565
12	G_32	0
12	G_33	0.0233415233415233
12	G_34	0
12	G_35	0.0368550368550369
12	G_36	0
12	G_37	0
12	G_38	0
12	G_39	0
12	G_4	0
12	G_40	0.0171990171990172
12	G_41	0.0380835380835381
12	G_42	0.0577395577395577
12	G_43	0.0712530712530713
12	G_44	0
12	G_45	0.0135135135135135
12	G_46	0
12	G_47	0.0503685503685504
12	G_48	0
12	G_49	0.0110565110565111
12	G_5	0.0122850122850123
12	G_50	0
12	G_51	0.0540540540540541
12	G_52	0
12	G_53	0
12	G_54	0
12	G_55	0
12	G_56	0
12	G_57	0
12	G_58	0
12	G_59	0
12	G_6	0.0307125307125307
12	G_60	0.0675675675675676
12	G_7	0.00491400491400491
12	G_8	0.0687960687960688
12	G_9	0
13	G_1	0.00954979536152797
13	G_10	0.077762619372442
13	G_11	0.0545702592087312
13	G_12	0
13	G_13	0.0381991814461119
13	G_14	0
13	G_15	0
13	G_16	0
13	G_17	0
13	G_18	0
13	G_19	0
13	G_2	0.0654843110504775
13	G_20	0
13	G_21	0.0613915416098226
13	G_22	0
13	G_23	0
13	G_24	0
13	G_25	0
13	G_26	0.0450204638472033
13	G_27	0
13	G_28	0.0518417462482947
13	G_29	0.0723055934515689
13	G_3	0
13	G_30	0
13	G_31	0
13	G_32	0.034106412005457
13	G_33	0.00272851296043656
13	G_34	0
13	G_35	0
13	G_36	0.0163710777626194
13	G_37	0.0286493860845839
13	G_38	0
13	G_39	0
13	G_4	0.0804911323328786
13	G_40	0
13	G_41	0.0641200545702592
13	G_42	0
13	G_43	0.0463847203274216
13	G_44	0
13	G_45	0
13	G_46	0
13	G_47	0
13	G_48	0.0736698499317872
13	G_49	0
13	G_5	0.0136425648021828
13	G_50	0.0259208731241473
13	G_51	0
13	G_52	0
13	G_53	0.053206002728513
13	G_54	0
13	G_55	0
13	G_56	0.0231923601637108
13	G_57	0
13	G_58	0
13	G_59	0
13	G_6	0
13	G_60	0.0204638472032742
13	G_7	0
13	G_8	0.0409276944065484
13	G_9	0
14	G_1	0.0099009900990099
14	G_10	0.0544554455445545
14	G_11	0
14	G_12	0
14	G_13	0.0272277227722772
14	G_14	0
14	G_15	0.0358910891089109
14	G_16	0.0445544554455446
14	G_17	0
14	G_18	0.00123762376237624
14	G_19	0
14	G_2	0
14	G_20	0.0668316831683168
14	G_21	0
14	G_22	0.0655940594059406
14	G_23	0
14	G_24	0
14	G_25	0
14	G_26	0.0148514851485149
14	G_27	0
14	G_28	0.0705445544554455
14	G_29	0
14	G_3	0
14	G_30	0
14	G_31	0
14	G_32	0.0631188118811881
14	G_33	0
14	G_34	0.0346534653465347
14	G_35	0
14	G_36	0.0136138613861386
14	G_37	0.0247524752475248
14	G_38	0
14	G_39	0.00742574257425743
14	G_4	0.0420792079207921
14	G_40	0.0556930693069307
14	G_41	0
14	G_42	0
14	G_43	0
14	G_44	0.0581683168316832
14	G_45	0
14	G_46	0.021039603960396
14	G_47	0
14	G_48	0
14	G_49	0
14	G_5	0
14	G_50	0.0185643564356436
14	G_51	0.0321782178217822
14	G_52	0
14	G_53	0.0742574257425743
14	G_54	0.0297029702970297
14	G_55	0.025990099009901
14	G_56	0.0569306930693069
14	G_57	0.0507425742574257
14	G_58	0
14	G_59	0
14	G_6	0
14	G_60	0
14	G_7	0
14	G_8	0
14	G_9	0
15	G_1	0
15	G_10	0
15	G_11	0
15	G_12	0.0424528301886792
15	G_13	0.0738993710691824
15	G_14	0
15	G_15	0.0330188679245283
15	G_16	0.0676100628930818
15	G_17	0
15	G_18	0.0723270440251572
15	G_19	0
15	G_2	0
15	G_20	0
15	G_21	0
15	G_22	0
15	G_23	0
15	G_24	0
15	G_25	0
15	G_26	0.059748427672956
15	G_27	0
15	G_28	0
15	G_29	0
15	G_3	0
15	G_30	0.0581761006289308
15	G_31	0.00157232704402516
15	G_32	0
15	G_33	0
15	G_34	0
15	G_35	0
15	G_36	0
15	G_37	0.0471698113207547
15	G_38	0
15	G_39	0
15	G_4	0.0220125786163522
15	G_40	0.0518867924528302
15	G_41	0
15	G_42	0
15	G_43	0.0833333333333333
15	G_44	0
15	G_45	0
15	G_46	0
15	G_47	0.0141509433962264
15	G_48	0.0534591194968553
15	G_49	0
15	G_5	0
15	G_50	0
15	G_51	0.0786163522012579
15	G_52	0
15	G_53	0
15	G_54	0
15	G_55	0.00628930817610063
15	G_56	0
15	G_57	0.0864779874213836
15	G_58	0.0927672955974843
15	G_59	0.0550314465408805
15	G_6	0
15	G_60	0
15	G_7	0
15	G_8	0
15	G_9	0
16	G_1	0
16	G_10	0
16	G_11	0.0624092888243832
16	G_12	0.034833091436865
16	G_13	0.0101596516690856
16	G_14	0.0682148040638607
16	G_15	0
16	G_16	0
16	G_17	0
16	G_18	0.058055152394775
16	G_19	0.0261248185776488
16	G_2	0
16	G_20	0
16	G_21	0
16	G_22	0
16	G_23	0.0435413642960813
16	G_24	0
16	G_25	0
16	G_26	0.0377358490566038
16	G_27	0.0275761973875181
16	G_28	0.0711175616835994
16	G_29	0
16	G_3	0.0058055152394775
16	G_30	0
16	G_31	0
16	G_32	0
16	G_33	0
16	G_34	0
16	G_35	0.0406386066763425
16	G_36	0.0246734397677794
16	G_37	0
16	G_38	0.0841799709724238
16	G_39	0
16	G_4	0.00870827285921625
16	G_40	0.0798258345428157
16	G_41	0.0537010159651669
16	G_42	0
16	G_43	0
16	G_44	0.00145137880986938
16	G_45	0
16	G_46	0
16	G_47	0
16	G_48	0
16	G_49	0.0522496371552975
16	G_5	0.0130624092888244
16	G_50	0.0725689404934688
16	G_51	0
16	G_52	0
16	G_53	0
16	G_54	0
16	G_55	0
16	G_56	0.0362844702467344
16	G_57	0
16	G_58	0.0870827285921626
16	G_59	0
16	G_6	0
16	G_60	0
16	G_7	0
16	G_8	0
16	G_9	0
17	G_1	0.0273291925465838
17	G_10	0.0422360248447205
17	G_11	0.0447204968944099
17	G_12	0
17	G_13	0
17	G_14	0.053416149068323
17	G_15	0.0708074534161491
17	G_16	0
17	G_17	0
17	G_18	0.0459627329192547
17	G_19	0
17	G_2	0.0186335403726708
17	G_20	0
17	G_21	0
17	G_22	0
17	G_23	0.0322981366459627
17	G_24	0
17	G_25	0
17	G_26	0
17	G_27	0
17	G_28	0.0335403726708075
17	G_29	0
17	G_3	0.0583850931677019
17	G_30	0
17	G_31	0
17	G_32	0
17	G_33	0.0397515527950311
17	G_34	0
17	G_35	0.0596273291925466
17	G_36	0.00993788819875776
17	G_37	0.0372670807453416
17	G_38	0.0683229813664596
17	G_39	0
17	G_4	0
17	G_40	0.0211180124223602
17	G_41	0
17	G_42	0
17	G_43	0
17	G_44	0.0385093167701863
17	G_45	0.0670807453416149
17	G_46	0
17	G_47	0.022360248447205
17	G_48	0
17	G_49	0.0173913043478261
17	G_5	0.0409937888198758
17	G_50	0.0472049689440994
17	G_51	0
17	G_52	0.0149068322981366
17	G_53	0
17	G_54	0
17	G_55	0.0198757763975155
17	G_56	0.00372670807453416
17	G_57	0.0509316770186335
17	G_58	0
17	G_59	0.0136645962732919
17	G_6	0
17	G_60	0
17	G_7	0
17	G_8	0
17	G_9	0
18	G_1	0
18	G_10	0
18	G_11	0
18	G_12	0
18	G_13	0.0598705501618123
18	G_14	0.0420711974110032
18	G_15	0
18	G_16	0
18	G_17	0
18	G_18	0
18	G_19	0
18	G_2	0
18	G_20	0
18	G_21	0.0355987055016181
18	G_22	0
18	G_23	0.0970873786407767
18	G_24	0
18	G_25	0
18	G_26	0
18	G_27	0
18	G_28	0
18	G_29	0.0550161812297735
18	G_3	0.029126213592233
18	G_30	0
18	G_31	0.0825242718446602
18	G_32	0
18	G_33	0.0760517799352751
18	G_34	0.0631067961165049
18	G_35	0
18	G_36	0
18	G_37	0
18	G_38	0
18	G_39	0
18	G_4	0
18	G_40	0.0388349514563107
18	G_41	0.0323624595469256
18	G_42	0
18	G_43	0.0809061488673139
18	G_44	0.087378640776699
18	G_45	0.0145631067961165
18	G_46	0
18	G_47	0
18	G_48	0.00647249190938511
18	G_49	0
18	G_5	0
18	G_50	0
18	G_51	0.0906148867313916
18	G_52	0
18	G_53	0
18	G_54	0.0889967637540453
18	G_55	0
18	G_56	0
18	G_57	0.0161812297734628
18	G_58	0
18	G_59	0
18	G_6	0
18	G_60	0
18	G_7	0
18	G_8	0
18	G_9	0.00323624595469256
19	G_1	0
19	G_10	0
19	G_11	0.0539877300613497
19	G_12	0
19	G_13	0.0171779141104294
19	G_14	0
19	G_15	0
19	G_16	0
19	G_17	0
19	G_18	0
19	G_19	0
19	G_2	0.049079754601227
19	G_20	0
19	G_21	0
19	G_22	0
19	G_23	0
19	G_24	0.0208588957055215
19	G_25	0
19	G_26	0
19	G_27	0.056441717791411
19	G_28	0
19	G_29	0
19	G_3	0.0306748466257669
19	G_30	0
19	G_31	0.045398773006135
19	G_32	0
19	G_33	0.0699386503067485
19	G_34	0.0441717791411043
19	G_35	0.0122699386503067
19	G_36	0
19	G_37	0.0368098159509202
19	G_38	0
19	G_39	0
19	G_4	0
19	G_40	0
19	G_41	0
19	G_42	0.0650306748466258
19	G_43	0
19	G_44	0.0687116564417178
19	G_45	0.0466257668711656
19	G_46	0.0159509202453988
19	G_47	0.0552147239263804
19	G_48	0
19	G_49	0.0723926380368098
19	G_5	0.0392638036809816
19	G_50	0
19	G_51	0
19	G_52	0
19	G_53	0.0184049079754601
19	G_54	0
19	G_55	0.0601226993865031
19	G_56	0.0196319018404908
19	G_57	0.0674846625766871
19	G_58	0
19	G_59	0
19	G_6	0
19	G_60	0
19	G_7	0
19	G_8	0.0343558282208589
19	G_9	0
20	G_1	0
20	G_10	0.0592755214050494
20	G_11	0
20	G_12	0
20	G_13	0
20	G_14	0.0285400658616905
20	G_15	0.0318331503841932
20	G_16	0
20	G_17	0
20	G_18	0
20	G_19	0
20	G_2	0.0351262349066959
20	G_20	0
20	G_21	0.021953896816685
20	G_22	0.0186608122941822
20	G_23	0
20	G_24	0
20	G_25	0
20	G_26	0
20	G_27	0.00658616904500549
20	G_28	0
20	G_29	0.0417124039517014
20	G_3	0.0515916575192097
20	G_30	0.0614709110867179
20	G_31	0.0482985729967069
20	G_32	0
20	G_33	0
20	G_34	0.0307354555433589
20	G_35	0
20	G_36	0
20	G_37	0.0658616904500549
20	G_38	0.0647639956092206
20	G_39	0.0241492864983535
20	G_4	0
20	G_40	0
20	G_41	0
20	G_42	0
20	G_43	0
20	G_44	0
20	G_45	0
20	G_46	0
20	G_47	0
20	G_48	0.0362239297475302
20	G_49	0
20	G_5	0.0428100987925357
20	G_50	0.0603732162458836
20	G_51	0.0570801317233809
20	G_52	0
20	G_53	0.0461031833150384
20	G_54	0.0472008781558727
20	G_55	0
20	G_56	0
20	G_57	0
20	G_58	0.0406147091108672
20	G_59	0.0329308452250274
20	G_6	0.00878155872667398
20	G_60	0
20	G_7	0
20	G_8	0.0373216245883644
20	G_9	0
21	G_1	0
21	G_10	0
21	G_11	0.0548172757475083
21	G_12	0
21	G_13	0
21	G_14	0
21	G_15	0.0730897009966777
21	G_16	0
21	G_17	0.0714285714285714
21	G_18	0
21	G_19	0
21	G_2	0
21	G_20	0
21	G_21	0
21	G_22	0.026578073089701
21	G_23	0
21	G_24	0.0365448504983389
21	G_25	0
21	G_26	0.0564784053156146
21	G_27	0
21	G_28	0.0980066445182724
21	G_29	0.00830564784053156
21	G_3	0
21	G_30	0
21	G_31	0.00664451827242525
21	G_32	0
21	G_33	0
21	G_34	0
21	G_35	0.0681063122923588
21	G_36	0
21	G_37	0.0764119601328904
21	G_38	0
21	G_39	0
21	G_4	0
21	G_40	0
21	G_41	0
21	G_42	0.0780730897009967
21	G_43	0
21	G_44	0
21	G_45	0.0598006644518272
21	G_46	0
21	G_47	0
21	G_48	0.0398671096345515
21	G_49	0.0614617940199336
21	G_5	0
21	G_50	0.0166112956810631
21	G_51	0
21	G_52	0.0232558139534884
21	G_53	0.00332225913621262
21	G_54	0
21	G_55	0.0431893687707641
21	G_56	0.0647840531561462
21	G_57	0
21	G_58	0
21	G_59	0.0199335548172757
21	G_6	0
21	G_60	0.0132890365448505
21	G_7	0
21	G_8	0
21	G_9	0
22	G_1	0.0449612403100775
22	G_10	0
22	G_11	0
22	G_12	0
22	G_13	0.0713178294573643
22	G_14	0.00155038759689922
22	G_15	0
22	G_16	0
22	G_17	0
22	G_18	0.0201550387596899
22	G_19	0.0341085271317829
22	G_2	0
22	G_20	0
22	G_21	0
22	G_22	0.0418604651162791
22	G_23	0.0186046511627907
22	G_24	0.0403100775193798
22	G_25	0.0170542635658915
22	G_26	0.0511627906976744
22	G_27	0.0666666666666667
22	G_28	0.027906976744186
22	G_29	0
22	G_3	0
22	G_30	0
22	G_31	0
22	G_32	0
22	G_33	0
22	G_34	0
22	G_35	0
22	G_36	0
22	G_37	0
22	G_38	0
22	G_39	0
22	G_4	0
22	G_40	0
22	G_41	0.0806201550387597
22	G_42	0
22	G_43	0.0248062015503876
22	G_44	0.0062015503875969
22	G_45	0
22	G_46	0
22	G_47	0.0155038759689922
22	G_48	0
22	G_49	0
22	G_5	0.0558139534883721
22	G_50	0.00465116279069767
22	G_51	0
22	G_52	0
22	G_53	0
22	G_54	0
22	G_55	0
22	G_56	0.0728682170542636
22	G_57	0.0263565891472868
22	G_58	0.0108527131782946
22	G_59	0
